area,group
ijcai,ai
cvpr,vision
eccv,vision
iccv,vision
icml,mlmining
kdd,mlmining
nips,mlmining
acl,nlp
emnlp,nlp
naacl,nlp
sigir,ir
www.ir
asplos,arch
isca,arch
micro,arch
hpca,arch
ccs,sec
oakland,sec
usenixsec,sec
pets,sec
vldb,mod
sigmod,mod
icde,mod
pods,mod
dac,da
iccad,da
emsoft,bed
rtas,bed
rtss,bed
sc,hpc
hpdc,hpc
ics,hpc
mobicom,mobile
mobisys,mobile
sensys,mobile
imc,metrics
sigmetrics,metrics
osdi,ops
sosp,ops
eurosys,ops
fast,ops
usenixatc,ops
popl,plan
pldi,plan
oopsla,plan 
icfp,plan
fse,soft
icse,soft
ase,soft
issta,soft
nsdi,comm
sigcomm,comm
siggraph,graph
siggraph-asia,graph
focs,act
soda,act
stoc,act
crypto,crypt
eurocrypt,crypt
cav,log
lics,log
ismb,bio
recomb,bio
ec,ecom
wine,ecom
chiconf,chi
ubicomp,chi
uist,chi
icra,robotics
iros,robotics
rss,robotics
vis,visualization
vr,visualization